Negocio|Nombre negocio|Gen|Nombre Gen|Uen|Nombre de la uen|Sublinea|Nomb Sublinea|Cat|Desc_Categoria|Subc|Desc_Subcategoria|Nom abreviado|Segmento|Desc_Segmento|Tipo unidad de medida|Unidad PUM|Descripción PUM                                                                                       
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9005|MP CAF POSTRES empleados      |MP C.POSTR|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9006|MP INSTANTANEOS               |MP INSTANT|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9007|MP SALSAS Y CONSERVAS empleado|MP SALSAS |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9008|MP CAF PASTAS EMPLEADOS       |MP C.SALSA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9009|MP CAF HUEVOS EMPLEADOS       |MP C.HUEVO|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9010|MP CAF BEBIDAS EMPLEADOS      |MP C.BEBID|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9011|MP CAF GRANOS EMPLEADOS       |MP C.GRANO|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9012|MP CAF GRASAS EMPLEADOS       |MP C.GRASA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9013|MP CAF FRUVER EMPLEADOS       |MP C.FRUVE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9014|MP CAF CARNES EMPLEADOS       |MP C.CARNE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9015|MP CAF PRODUC.CONGELADOS EMPLE|MP C.P.CON|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9016|MP CAF QUESO EMPLEADOS        |MP C.QUESO|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9017|MP LACTEOS HELADOS EMPLEADOS  |MP LACTEOS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9018|MP PANES EMPLEADOS            |MP PANES  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |00290|MATERIAS PRIMAS               |9019|MP AREPAS EMPLEADOS           |MP AREPAS |0000|                              |   |   |                              
00|                              |00|                              |000|                              |002|CAFETERIA EMPLEADOS           |09999|CATEGORIA GENERICA            |9999|GENERICO SUBLINEA 02          |GENERICO 2|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1010|PERROS                        |PERROS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1020|PIZZA                         |PIZZA     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1030|PANDEBONOS                    |PANDEBONO |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1040|PASTELES                      |PASTELES  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1050|OBLEAS                        |OBLEAS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1060|CRISPETAS                     |CRISPETA  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1070|BUNUELO - PANDEQUESO          |BUN.PANDEQ|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1075|SEVICHE DE MANGO              |SEV. MANGO|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1080|DONAS                         |DONAS     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1083|DULCES                        |DULCES    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1085|DULCES TIPICOS                |D.TIPICOS |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00410|COMIDAS RAPIDAS               |1090|ENSALADA DE FRUTAS            |ENS.FRUTAS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1505|ASADOS                        |ASADOS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1510|POLLO                         |POLLO     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1515|PIZZA                         |PIZZA     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1520|PERROS                        |PERROS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1525|HAMBURGUESA                   |HAMBURG.  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1530|PASTAS                        |PASTAS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1535|LECHONA                       |LECHONA   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1540|COMIDA CHINA                  |COM.CHINA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1545|COMIDA ORIENTAL               |COM.ORIENT|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1550|COMIDA MEXICANA               |COM.MEXICA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1555|COMIDA TIPICA                 |COM.TIPICA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00415|PLAZA DE COMIDAS              |1560|COMIDA DE MAR                 |COM.DE MAR|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00420|HELADOS                       |2010|GRANIZADO                     |GRANIZAD. |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00420|HELADOS                       |2020|HELADOS                       |HELADOS   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00420|HELADOS                       |2030|CONOS                         |CONOS     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00420|HELADOS                       |2040|FRESAS CON CREMA              |FRES.CREMA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2510|REVISTAS                      |REVISTAS  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2520|ARTESANIAS                    |ARTESANIA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2530|PAPELERIA                     |PAPELERIA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2540|PECES Y AVES                  |PEC.Y AVES|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2545|PRODUCTOS NTURALES            |P.NATURALE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2550|DULCES                        |DULCES    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00425|MERCANCIAS                    |2560|OPTICA                        |OPTICA    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3005|LLAVES                        |LLAVES    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3010|FOTOCOPIAS                    |FOTOCOPIA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3015|LAVANDERIA                    |LAVANDERIA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3020|BASCULAS - CONTROL DE PESO    |BASC.PESO |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3025|CORREO                        |CORREO    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3030|APUESTAS                      |APUESTAS  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3035|JUEGO ELECTRONICO BALOTO      |BALOTO    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3040|FOTOS                         |FOTOS     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3045|LAVADA DE AUTOS               |LAV.AUTOS |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3050|MENSAJERIA                    |MENSAJERIA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3055|PELUQUERIA                    |PALUQUERIA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3060|ESTACION DE SERVICIO          |EST.SERVIC|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3065|SERVITECA                     |SERVITECA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3070|SEGURO                        |SEGURO    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00430|SERVICIOS                     |3075|PASAJES                       |PASAJES   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00435|BEBIDAS                       |3510|CAFE                          |CAFE      |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00435|BEBIDAS                       |3520|JUGOS                         |JUGOS     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00440|DISPENSADORES                 |4010|DISPENSADOR DE MUNEC          |DISP.MUNEC|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00440|DISPENSADORES                 |4020|DISPENSADOR DE SORPRESAS      |DISP.SORPR|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00440|DISPENSADORES                 |4030|DISPENSADOR DE DULCES         |DISP.DULCE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00440|DISPENSADORES                 |4040|DISPENSADOR DE BEBIDAS        |DISP.BEBID|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00445|REPARACIONES                  |4510|ELECTRODOMESTICOS             |ELECTROD. |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00445|REPARACIONES                  |4520|CALZADO                       |CALZADO   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00445|REPARACIONES                  |4530|PRENDAS DE VESTIR             |PREN.VESTI|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00445|REPARACIONES                  |4540|BICICLETAS                    |BICICLETAS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00450|ENTRETENIMIENTO               |5010|VIDEOS                        |VIDEOS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00450|ENTRETENIMIENTO               |5020|JUEGOS MECANICOS              |JUEG.MECAN|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00450|ENTRETENIMIENTO               |5030|INTERNET                      |INTERNET  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5510|FLORES                        |FLORES    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5520|CARNES FRESCAS                |CARNES FRE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5530|POLLOS                        |POLLOS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5540|PESCADERIA                    |PESCADERIA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5550|CHARCUTERIA Y COMIDAS PREPARAD|CHARC.PREP|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5560|PANADERIA                     |PANADERIA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00455|FRESCOS PERECEDEROS           |5570|CAFETERIA                     |CAFETERIA |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00460|PRODUCTOS DE GRAN CONSUMO     |6010|DROGUERIAS                    |DROGUERIAS|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00465|TEXTILES Y CONFECCIONES       |6510|TELAS                         |TELAS     |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00465|TEXTILES Y CONFECCIONES       |6520|ADORNOS                       |ADORNOS   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7005|CALZADO                       |CALZADO   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7010|MARROQUINERIA                 |MARROQUINE|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7015|JOYERIA                       |JOYERIA   |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7020|FANTASIA                      |FANTASIA  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7025|LAMPARAS                      |LAMPARAS  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7030|ARTICULOS DECORATIVOS         |ART.DECORA|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7035|CELULARES                     |CELULARES |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7036|TELECOMUNICACIONES            |TELECOMUNI|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7040|MUSICA                        |MUSICA    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7045|AROMATERAPIA                  |AROMARERAP|0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7050|TARJETAS                      |TARJETAS  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7055|TEXTOS                        |TEXTOS    |0000|                              |   |   |                              
00|                              |00|                              |000|                              |004|CONCESIONARIOS                |00470|VARIEDADES                    |7060|PINTURAS                      |PINTURAS  |0000|                              |   |   |                              
00|                              |00|                              |000|                              |099|SUBLINEA FINANCIACION         |09905|SERVICIOS                     |0505|ARMADO DE MUEBLES             |AR.MUEBLES|0000|                              |   |   |                              
00|                              |00|                              |000|                              |099|SUBLINEA FINANCIACION         |09905|SERVICIOS                     |0515|SERVICIO A DOMICILIO          |SER.DOMICI|0000|                              |   |   |                              
00|                              |00|                              |000|                              |099|SUBLINEA FINANCIACION         |09905|SERVICIOS                     |6515|ALIANZAS CARULLA              |ALIANZAS C|0000|                              |   |   |                              
